name	types	score	votes	watched	plan_to_watch	full_name	year	nations	languages	runtime	fivestars	tags	tags	imdb
东京物语	剧情/家庭	9.2	52260	66435	78504	东京物语 東京物語	1953	日本	日语	136	65.7%,28.2%,5.5%,0.4%,0.2%	小津安二郎,日本,日本电影,家庭,经典,文艺,1953,原节子	小津安二郎,日本,日本电影,家庭,经典,文艺,1953,原节子	http://www.imdb.com/title/tt0046438
城市之光	剧情/喜剧/爱情	9.2	45668	59010	32563	城市之光 City Lights	1931	美国	英语	87	67.0%,28.0%,4.7%,0.2%,0.1%	卓别林,喜剧,默片,美国,经典,黑白,CharlesChaplin,美国电影	卓别林,喜剧,默片,美国,经典,黑白,CharlesChaplin,美国电影	http://www.imdb.com/title/tt0021749
生活多美好	剧情/爱情/奇幻	9.2	35490	41918	44289	生活多美好 It's a Wonderful Life	1946	美国	英语	130	67.9%,26.1%,5.4%,0.4%,0.2%	美国,励志,经典,美国电影,喜剧,1946,爱情,JamesStewart	美国,励志,经典,美国电影,喜剧,1946,爱情,JamesStewart	http://www.imdb.com/title/tt0038650
洞	剧情/惊悚/犯罪	9.2	20678	24748	34362	洞 Le trou	1960	法国 / 意大利	法语	132	65.5%,28.9%,5.0%,0.5%,0.2%	法国,越狱,雅克·贝克,黑白,法国电影,剧情,黑色幽默,1960	法国,越狱,雅克·贝克,黑白,法国电影,剧情,黑色幽默,1960	http://www.imdb.com/title/tt0054407
切腹	剧情	9.2	11460	13453	16140	切腹	1962	日本	日语	133	66.5%,27.9%,5.0%,0.4%,0.2%	日本,小林正树,武士,日本电影,仲代达矢,黑白,1962,切腹	日本,小林正树,武士,日本电影,仲代达矢,黑白,1962,切腹	http://www.imdb.com/title/tt0056058
哀乐中年	剧情/爱情/家庭	9.2	5061	5738	7087	哀乐中年	1949	中国大陆	汉语普通话	105	64.9%,30.8%,3.7%,0.4%,0.2%	1949,黑白,家庭,经典,剧情,中国大陆,人生,爱情	1949,黑白,家庭,经典,剧情,中国大陆,人生,爱情	http://www.imdb.com/title/tt1580409
楚门的世界	剧情/科幻	9.1	522673	647278	99521	楚门的世界 The Truman Show	1998	美国	英语	103	61.9%,31.9%,5.8%,0.3%,0.1%	人性,经典,美国,楚门的世界,JimCarrey,剧情,美国电影,喜剧	人性,经典,美国,楚门的世界,JimCarrey,剧情,美国电影,喜剧	http://www.imdb.com/title/tt0120382
摔跤吧！爸爸	剧情/家庭/传记/运动	9.1	505618	532645	61288	摔跤吧！爸爸 Dangal	2016	印度	印地语	161	63.1%,30.7%,5.7%,0.4%,0.2%	励志,印度,成长,亲情,女权,体育,女性,运动	励志,印度,成长,亲情,女权,体育,女性,运动	http://www.imdb.com/title/tt5074352
触不可及	剧情/喜剧	9.1	409408	487358	150760	触不可及 Intouchables	2011	法国	法语	112	63.6%,30.7%,5.3%,0.3%,0.1%	温情,法国,感人,喜剧,法式情怀,剧情,搞笑,2011	温情,法国,感人,喜剧,法式情怀,剧情,搞笑,2011	http://www.imdb.com/title/tt1675434
天堂电影院	剧情/爱情	9.1	334601	434026	138177	天堂电影院 Nuovo Cinema Paradiso	1988	意大利 / 法国	意大利语 / 英语 / 葡萄牙语	155	63.8%,29.7%,6.1%,0.4%,0.1%	意大利,经典,成长,天堂电影院,托纳多雷,剧情,意大利电影,电影	意大利,经典,成长,天堂电影院,托纳多雷,剧情,意大利电影,电影	http://www.imdb.com/title/tt0095765
